trade_id,ticker,date,direction,model,zone_type,entry_time,entry_price,is_winner,pnl_r,max_r_achieved,bar_date,bar_time,open,high,low,close,volume,candle_range_pct,vol_delta_raw,vol_delta_roll,vol_roc,sma9,sma21,sma_config,sma_spread_pct,sma_momentum_label,price_position,cvd_slope,m5_structure,m15_structure,h1_structure,health_score,long_score,short_score,calculated_at
AMD_020926_EPCH4_0930,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:30:00,206.47,True,5.0,5,2026-02-09,09:29:00,206.9217,206.99,206.79,206.79,4539,0.096716,-4539.0,-21005.61,-28.0671,207.7966,207.8506,BEAR,0.026097,NARROWING,BELOW,-0.301908,BULL,BULL,BULL,4,0,0,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0930,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:30:00,606.81,True,5.0,5,2026-02-09,09:29:00,607.53,607.69,607.38,607.51,17376,0.051028,-2802.58,794.62,70.8193,607.5548,607.6511,BEAR,0.015848,NARROWING,BELOW,0.121383,BULL,BULL,BULL,6,1,2,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH2_0930,AVGO,2026-02-09,LONG,EPCH2,PRIMARY,09:30:00,334.95,False,-1.0,-1,2026-02-09,09:29:00,330.94,330.94,330.55,330.55,3311,0.117985,-3311.0,17411.6,80.5294,329.9311,329.7006,BULL,0.069734,WIDENING,ABOVE,0.632665,BEAR,BEAR,BULL,8,1,3,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH3_0930,GOOG,2026-02-09,SHORT,EPCH3,SECONDARY,09:30:00,319.54,False,-1.0,-1,2026-02-09,09:29:00,321.04,321.22,320.9,321.18,2657,0.099633,1992.75,24205.9,-34.2107,321.0373,320.8951,BULL,0.044279,STABLE,ABOVE,0.550955,BULL,BEAR,BEAR,4,0,2,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0930,GOOG,2026-02-09,SHORT,EPCH4,SECONDARY,09:30:15,318.9622,False,-1.0,-1,2026-02-09,09:29:00,321.04,321.22,320.9,321.18,2657,0.099633,1992.75,24205.9,-34.2107,321.0373,320.8951,BULL,0.044279,STABLE,ABOVE,0.550955,BULL,BEAR,BEAR,4,0,2,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH4_0931,DIA,2026-02-09,LONG,EPCH4,SECONDARY,09:31:00,500.53,False,-1.0,-1,2026-02-09,09:30:00,500.11,500.47,499.71,499.94,403011,0.152018,-159083.29,-154777.89,67062.9031,500.03,500.2129,BEAR,0.036577,WIDENING,BELOW,-0.135052,BULL,BULL,BEAR,6,4,3,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH2_0931,DIA,2026-02-09,LONG,EPCH2,PRIMARY,09:31:00,500.53,False,-1.0,-1,2026-02-09,09:30:00,500.11,500.47,499.71,499.94,403011,0.152018,-159083.29,-154777.89,67062.9031,500.03,500.2129,BEAR,0.036577,WIDENING,BELOW,-0.135052,BULL,BULL,BEAR,6,4,3,2026-02-15 17:41:10.423787+00:00
TSLA_020926_EPCH4_0932,TSLA,2026-02-09,LONG,EPCH4,SECONDARY,09:32:45,408.0306,True,5.0,5,2026-02-09,09:31:00,409.9701,411.18,408.36,410.13,522998,0.687587,133531.4,210116.75,1151.4429,410.0843,409.6437,BULL,0.107439,WIDENING,ABOVE,0.074686,BEAR,BEAR,BULL,10,4,5,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH4_0932,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:32:45,206.8887,True,4.0,4,2026-02-09,09:31:00,205.6865,205.6865,204.15,204.905,390583,0.74986,-6736.38,-516973.66,671.8147,207.2261,207.5761,BEAR,0.17081,WIDENING,BELOW,-0.278938,BULL,BULL,BULL,10,5,3,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH4_0933,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:33:00,206.47,False,-1.0,-1,2026-02-09,09:32:00,205.08,206.983,204.25,206.8887,317579,1.321,295663.38,-225793.19,356.476,207.1171,207.5302,BEAR,0.199665,WIDENING,BELOW,-0.240835,BULL,BULL,BULL,8,5,3,2026-02-15 17:41:10.423787+00:00
TSLA_020926_EPCH4_0933,TSLA,2026-02-09,LONG,EPCH4,SECONDARY,09:33:15,409.83,True,5.0,5,2026-02-09,09:32:00,410.0,410.11,407.6227,408.0306,357813,0.609587,-240455.28,-35240.24,428.2983,409.9668,409.5785,BULL,0.095168,WIDENING,BELOW,0.044484,BEAR,BEAR,BULL,8,3,4,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH3_0933,GOOG,2026-02-09,LONG,EPCH3,SECONDARY,09:33:30,322.565,True,5.0,5,2026-02-09,09:32:00,320.69,321.56,320.17,321.125,235539,0.432853,88115.31,-48076.3,320.6132,320.889,320.8149,BULL,0.023081,WIDENING,ABOVE,-0.078931,BULL,BEAR,BEAR,6,3,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0934,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:34:00,607.21,True,2.0,2,2026-02-09,09:33:00,606.84,607.43,606.06,607.3,380727,0.225589,308472.24,371119.16,264.6412,607.2417,607.4231,BEAR,0.029874,STABLE,BTWN,0.008008,BULL,BULL,BULL,6,4,4,2026-02-15 17:41:10.423787+00:00
